('1', (332, 137))^('0', (1274, 846))^('3', (428, 27))^('2', (401, 69))^168^628
manulife hong kong^('manulife', 0)
fastmarkets^('fastmarkets', 0)
proventis partners gmbh^('proventis partners', 2)
westpac^('westpac', 0)^('westpac', 0)
pggm^('pggm', 0)
velox financial technology, llc^('velox', 0)
boston consulting group (bcg)^('boston consulting', 2)
innovation experience israel^('innovation experience israel', 0)
fidelity investments^('fidelity investments', 0)^('fidelity international', 0)^('fidelity international', 0)^('fidelity international', 0)^('fidelity international', 0)^('fidelity international strategic ventures', 2)^('fidelity international strategic ventures', 2)^('fidelity international strategic ventures', 2)
tower trading^('tower bridge international services', 1)
scotiabank global banking and markets^('scotiabank', 0)
michael waitze media^('michael waitze media', 0)^('michael page', 1)
ferovinum^('ferovinum', 0)
stake^('stake', 0)
jay.devs^('jay.devs', 0)
crypto.com^('crypto.com', 0)
brickendon consulting^('brickendon consulting', 0)
xorlabs.com^('xorlabs.com', 0)
nordic financial components^('nordic capital', 1)^('nordic growth market', 1)
rapid addition limited^('rapid addition', 0)^('rapid addition', 0)^('rapid addition', 0)^('rapid addition', 0)^('rapid addition', 0)^('rapid addition', 0)
axis capital^('axis talent', 1)
aristek systems^('aristek systems', 0)
mbsa international^('mbsa international', 0)
tag 61^('tag 61', 0)
etfs capital^('etfs capital', 0)^('etfs capital', 0)
muqassa (securities clearing center company)^('muqassa', 1)
word perfect^('word perfect', 0)
sky^('sky', 0)
apex leads inc^('apex research', 1)
forbes^('forbes', 0)
hudson river trading^('hudson river trading', 0)
datapillar^('datapillar', 0)
rabobank^('rabobank', 0)^('rabobank', 0)^('rabobank', 0)
west 1^('west 1', 0)
jefferies^('jefferies', 0)
databricks^('databricks', 0)
nextwave-infinium^('nextwave-infinium', 0)
xpertlab technologies private limited^('xpertlab technologies', 2)
clover light^('clover health', 1)
apex capital^('apex', 0)^('apex', 0)
credit management group - esg solutions^('credit management', 2)
lseg^('lseg', 0)^('lseg \xe2\x80\x93', 1)^('lseg \xe2\x80\x93', 1)^('lseg \xe2\x80\x93', 1)^('lseg \xe2\x80\x93', 1)^('lseg \xe2\x80\x93', 1)
taskize^('taskize', 0)
marketing test^('marketing agency', 1)
digital realty^('digital marketing solution', 1)^('digital hub solution', 1)^('digital isle of man', 1)
athens exchange^('athens exchange', 0)
cognacity^('cognacity', 0)
cogo^('cogo', 0)
ultumus^('ultumus', 0)^('ultumus', 0)^('ultumus', 0)^('ultumus', 0)^('ultumus', 0)
interactive brokers group^('interactive brokers', 0)
q5 infotech^('q5 infotech, india', 0)^('q5 infotech, india', 0)
openfin^('openfin', 0)^('openfin', 0)
ola^('ola', 0)
google^('google', 0)^('google', 0)^('google', 0)
fidessa^('fidessa', 0)
first derivatives^('first derivative', 0)
bunch consulting^('bunch consulting', 0)
createtheweb^('createtheweb', 0)
insightful technologies^('insightful technologies', 0)
outsystems^('outsystems', 0)
new gen guru pvt ltd^('new gen guru', 3)
fiskl limited^('fiskl', 1)
wix.com^('wix.com', 0)
